aclew_id	age_mo_round	p/b	t/d	k/ɡ	m	f	n	l	r	s/z	ʃ/ʒ	ŋ	x/ɣ	vms.count	total.cons.tokens	total.n.vocs
6964	5	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	28	100
4935	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	33	54
6107	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	92	152
1991	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	34	81
8179	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	19	127
1188	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	61	233
456	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	30	381
2109	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	6	128
3214	8	NA	NA	NA	10	NA	10	NA	NA	NA	NA	NA	NA	2	34	68
7273	9	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	44	279
7439	9	NA	10	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	2	80	284
3591	10	15	31	40	12	NA	21	11	NA	NA	NA	NA	NA	6	223	643
909	11	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	46	61
8787	11	64	107	14	16	NA	NA	NA	NA	NA	NA	NA	NA	4	260	260
684	13	21	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	2	85	116
9415	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	82	218
7326	14	17	120	NA	NA	NA	86	52	NA	NA	NA	NA	NA	4	374	392
6028	16	NA	15	NA	74	NA	11	NA	NA	NA	NA	NA	NA	3	183	391
5147	17	NA	24	NA	18	NA	NA	15	NA	NA	NA	NA	NA	3	198	335
9592	19	32	107	NA	35	NA	21	NA	NA	NA	NA	NA	NA	4	266	235
